section	key	context	english_source	amharic_translation	translator_notes
Navigation	nav.reporting	Top navigation link	Reporting channel		
Navigation	nav.track	Top navigation link	Track case		
Navigation	nav.privacy	Top navigation link or anchor	Privacy		
Navigation	nav.home	Top navigation link	Home page		
Navigation	nav.newReport	Top navigation link	New report		
Language	language.english	Language toggle button label	English		
Language	language.amharic	Language toggle button label	Amharic		
Home	home.eyebrow	Small label above home page heading	SVH SpeakUp		
Home	home.title	Main home page heading	Reporting channel		
Home	home.lede	Home page intro paragraph	Use this channel to safely report concerns, misconduct, or unethical behavior. It covers SVH and its ventures.		
Home	home.startReport	Primary action button	Start a report		
Home	home.trackExisting	Secondary action button	Track existing case		
Home	home.confidentiality	Section heading or link text	How confidentiality works		
Home	home.next.title	Card heading	What happens next		
Home	home.next.item1	Process step text	Your report is submitted securely.		
Home	home.next.item2	Process step text	You receive a case ID and secret.		
Home	home.next.item3	Process step text	You can return later for follow-up.		
Home	home.covered.title	Card heading	Covered entities		
Home	home.covered.copy	Card copy	This channel covers SVH and 4 ventures.		
Home	home.privacy.eyebrow	Small label	Privacy		
Home	home.privacy.title	Privacy section heading	Keep your identity safe		
Home	home.privacy.item1	Privacy guidance	Do not include your name unless you want to share it.		
Home	home.privacy.item2	Privacy guidance	Keep your case ID and secret somewhere safe.		
Home	home.privacy.item3	Privacy guidance	Be as clear and factual as possible.		
Report	report.eyebrow	Small label above report form heading	Anonymous submission		
Report	report.title	Report form page heading	New report		
Report	report.lede	Report form intro paragraph	Submit a concern relating to SVH or one of its ventures. Your report is treated as confidential and can be followed up later with your case ID and secret.		
Report	report.steps.aria	Accessibility label for step navigation	Report submission steps		
Report	report.step1.title	Step card title	Report details		
Report	report.step1.copy	Step card short copy	Share what happened and where.		
Report	report.step2.title	Step card title	Escalation & submit		
Report	report.step2.copy	Step card short copy	Add urgency context and confirm submission.		
Report	report.step1.eyebrow	Small step label	Step 1 of 2		
Report	report.step1.heading	Section heading	Report details		
Report	report.step1.help	Section helper text	Start with the core facts so investigators can understand the concern before they review escalation context.		
Report	report.category	Field label	Category		
Report	report.loadingCategories	Category dropdown loading text	Loading categories...		
Report	report.selectCategory	Category dropdown placeholder	Select a category		
Report	report.titleField	Field label	Title		
Report	report.titlePlaceholder	Field placeholder	Short summary of the concern		
Report	report.titleHint	Field helper text	Minimum 5 characters.		
Report	report.description	Field label	Description		
Report	report.descriptionPlaceholder	Field placeholder	Describe what happened as concisely as you can. Investigators can follow up later.		
Report	report.descriptionHint	Field helper text	Minimum 15 characters.		
Report	report.when	Field label	When did it happen?		
Report	report.where	Field label	Where did it happen?		
Report	report.wherePlaceholder	Field placeholder	For example: Nairobi office		
Report	report.people	Field label	People involved		
Report	report.peoplePlaceholder	Field placeholder	Optional names, roles, or descriptors		
Report	report.evidenceNotes	Field label	Evidence notes		
